fileid,mic_file,gt_doas_by_scene_ref_order,hark_music_doas,hark_music_scores,mean_matched_doa_error_deg,localization_sec,localization_rtf
390,mic_fileid_390_doa110_3spk.wav,"110,255,358","265,180,105","1.000000,0.131119,0.124825",57.666666666666664,0.023826714997994713,0.0015085331242745373
391,mic_fileid_391_doa145_3spk.wav,"208,268,145","190,260,110","1.000000,0.486787,0.405193",20.333333333333332,0.025737363001098856,0.001629707727568967
392,mic_fileid_392_doa16_3spk.wav,"209,16,100","250,100,195","1.000000,0.460234,0.195929",46.666666666666664,0.024012125002627727,0.0014801285213972587
393,mic_fileid_393_doa13_3spk.wav,"293,49,13","80,280,5","1.000000,0.268721,0.043723",17.333333333333332,0.01808207000067341,0.0015731062682738189
394,mic_fileid_394_doa77_3spk.wav,"332,77,143","345,290,105","1.000000,0.776386,0.702373",57.333333333333336,0.028516236998257227,0.0016850953677846805
395,mic_fileid_395_doa31_3spk.wav,"308,31,271","75,285,5","1.000000,0.835550,0.452391",38.333333333333336,0.023177281000243966,0.0014555736389838029
396,mic_fileid_396_doa107_3spk.wav,"212,333,107","255,195,100","1.000000,0.740090,0.221949",34.0,0.01820301599946106,0.0012638460029307384
397,mic_fileid_397_doa73_3spk.wav,"199,262,73","255,195,95","1.000000,0.864566,0.344535",11.0,0.03371383900230285,0.0018746704479597888
398,mic_fileid_398_doa14_3spk.wav,"14,88,177","175,10,85","1.000000,0.769289,0.145700",3.0,0.025140582998574246,0.0014304029243821003
399,mic_fileid_399_doa240_3spk.wav,"281,240,317","270,90,335","1.000000,0.467723,0.460767",59.666666666666664,0.024032542001805268,0.0014140220495741035
