fileid,mic_file,gt_doas_by_scene_ref_order,hark_music_doas,hark_music_scores,mean_matched_doa_error_deg,localization_sec,localization_rtf
117,mic_fileid_117_doa283_3spk.wav,"326,283,357","305,345,80","1.000000,0.953151,0.558433",41.333333333333336,0.04881918899991433,0.003090188804045691
118,mic_fileid_118_doa22_3spk.wav,"209,325,22","190,345,285","1.000000,0.491477,0.281227",32.0,0.03568530499978806,0.002270779828176141
119,mic_fileid_119_doa74_3spk.wav,"313,74,239","285,340,90","1.000000,0.523356,0.213289",29.666666666666668,0.04842917299902183,0.0029304836620490035
120,mic_fileid_120_doa2_3spk.wav,"257,2,302","345,185,270","1.000000,0.188592,0.167073",40.333333333333336,0.040676650998648256,0.0023868472596319827
121,mic_fileid_121_doa6_3spk.wav,"6,130,180","180,5,95","1.000000,0.265916,0.158994",12.0,0.04090062400064198,0.0026472253262876783
122,mic_fileid_122_doa14_3spk.wav,"302,151,14","5,285,175","1.000000,0.439524,0.117550",16.666666666666668,0.036235691000911174,0.002124964469812045
123,mic_fileid_123_doa174_3spk.wav,"323,174,276","175,285,105","1.000000,0.746363,0.313935",50.666666666666664,0.04496729799939203,0.0028135994430898287
124,mic_fileid_124_doa62_3spk.wav,"251,339,62","255,190,95","0.245171,0.049701,0.027613",59.333333333333336,0.04343966099986574,0.0026449295075647
125,mic_fileid_125_doa76_3spk.wav,"303,76,343","80,345,175","1.000000,0.793396,0.649555",44.666666666666664,0.025362897002196405,0.0015154128745906899
126,mic_fileid_126_doa119_3spk.wav,"119,242,317","110,350,190","1.000000,0.177080,0.129329",31.333333333333332,0.03793780699925264,0.002513790168501438
127,mic_fileid_127_doa151_3spk.wav,"231,357,151","195,95,250","1.000000,0.324419,0.266249",53.666666666666664,0.0532698339993658,0.0031433194075273386
128,mic_fileid_128_doa219_3spk.wav,"300,335,219","345,280,190","1.000000,0.624933,0.243766",19.666666666666668,0.014952314999391092,0.0011595436215115233
129,mic_fileid_129_doa36_3spk.wav,"141,185,36","155,100,260","1.000000,0.190514,0.072883",51.0,0.0505686649994459,0.0030883277732059516
130,mic_fileid_130_doa67_3spk.wav,"67,109,303","80,155,5","1.000000,0.540028,0.110502",40.333333333333336,0.04243843499716604,0.0025177983282582586
131,mic_fileid_131_doa55_3spk.wav,"204,160,55","80,260,200","1.000000,0.162385,0.160775",40.333333333333336,0.04027408000183641,0.0023547790244084874
132,mic_fileid_132_doa43_3spk.wav,"77,117,43","175,80,5","1.000000,0.666685,0.306900",33.0,0.03770938500019838,0.0021667079407146853
133,mic_fileid_133_doa178_3spk.wav,"336,246,178","195,340,270","1.000000,0.979960,0.742811",15.0,0.04537359700043453,0.0029004760443912506
134,mic_fileid_134_doa125_3spk.wav,"125,311,171","100,265,170","1.000000,0.763651,0.597400",24.0,0.04673925300085102,0.0028803163222598594
135,mic_fileid_135_doa93_3spk.wav,"258,93,207","260,100,200","1.000000,0.380780,0.241810",5.333333333333333,0.03791879699929268,0.002238103984789186
136,mic_fileid_136_doa59_3spk.wav,"253,214,59","255,90,185","1.000000,0.164378,0.142674",20.666666666666668,0.03784950000044773,0.0021909509924066908
137,mic_fileid_137_doa84_3spk.wav,"173,278,84","90,175,280","1.000000,0.544478,0.044071",3.3333333333333335,0.04165369900147198,0.0024157400048700228
138,mic_fileid_138_doa68_3spk.wav,"68,225,352","175,270,85","1.000000,0.236057,0.107268",49.666666666666664,0.03870009599995683,0.0023505710749861792
139,mic_fileid_139_doa109_3spk.wav,"109,141,298","155,100,270","1.000000,0.060122,0.057577",17.0,0.04491069899813738,0.0029012782285189323
140,mic_fileid_140_doa211_3spk.wav,"338,255,211","345,290,75","1.000000,0.444907,0.431176",59.333333333333336,0.048847827998542925,0.002894643220014099
141,mic_fileid_141_doa54_3spk.wav,"54,102,176","90,25,160","1.000000,0.302073,0.179694",19.0,0.03884024800208863,0.0023816683837434775
142,mic_fileid_142_doa64_3spk.wav,"193,108,64","190,80,265","1.000000,0.356085,0.219623",56.666666666666664,0.0398576609986776,0.002304227372178412
143,mic_fileid_143_doa172_3spk.wav,"351,172,315","280,180,85","0.508861,0.427435,0.331511",45.666666666666664,0.025935501002095407,0.0015503897421055785
144,mic_fileid_144_doa170_3spk.wav,"250,170,203","255,185,5","1.000000,0.386355,0.091565",60.666666666666664,0.034300936000363436,0.0020667105102836186
145,mic_fileid_145_doa40_3spk.wav,"40,324,109","75,280,165","1.000000,0.385206,0.374107",45.0,0.03025427900138311,0.0019472563820834698
146,mic_fileid_146_doa55_3spk.wav,"170,95,55","265,170,90","1.000000,0.852214,0.479161",51.666666666666664,0.038013780998880975,0.0024373081355024548
147,mic_fileid_147_doa111_3spk.wav,"323,168,111","80,175,335","1.000000,0.174229,0.095845",16.666666666666668,0.02761404899865738,0.0016395944067603243
148,mic_fileid_148_doa52_3spk.wav,"52,179,215","185,80,10","1.000000,0.737486,0.226710",57.0,0.022550088000571122,0.001438418575018889
149,mic_fileid_149_doa92_3spk.wav,"92,167,237","95,265,185","1.000000,0.079364,0.045517",16.333333333333332,0.040134856000804575,0.0023891217334844083
150,mic_fileid_150_doa91_3spk.wav,"223,125,91","190,260,90","1.000000,0.663887,0.386670",34.333333333333336,0.03848214199751965,0.002402374897423718
151,mic_fileid_151_doa83_3spk.wav,"298,83,188","185,85,280","1.000000,0.835677,0.109665",7.666666666666667,0.04584867000085069,0.002844960364913249
152,mic_fileid_152_doa81_3spk.wav,"81,279,246","85,180,5","1.000000,0.801957,0.413276",52.0,0.03384873499817331,0.002180167463611955
153,mic_fileid_153_doa13_3spk.wav,"102,334,13","100,270,175","1.000000,0.446267,0.125743",74.66666666666667,0.03190691099734977,0.002048548493846843
154,mic_fileid_154_doa109_3spk.wav,"109,280,212","100,195,345","1.000000,0.810807,0.729676",30.333333333333332,0.02476207899962901,0.0014910964148121012
155,mic_fileid_155_doa4_3spk.wav,"4,254,170","270,180,95","1.000000,0.867235,0.507052",39.0,0.02918123800191097,0.0016335334859827989
156,mic_fileid_156_doa54_3spk.wav,"169,54,227","170,105,260","1.000000,0.587271,0.544645",28.333333333333332,0.018703317000472452,0.0011085499981758075
157,mic_fileid_157_doa8_3spk.wav,"155,8,118","105,160,5","1.000000,0.505582,0.328710",7.0,0.03773446900231647,0.0022284409406011277
158,mic_fileid_158_doa77_3spk.wav,"251,77,219","255,190,85","1.000000,0.444737,0.271895",13.666666666666666,0.03655577999961679,0.0025707299577789585
159,mic_fileid_159_doa31_3spk.wav,"31,293,218","15,265,55","1.000000,0.508097,0.454758",51.0,0.03159372899972368,0.0018451586508818037
160,mic_fileid_160_doa141_3spk.wav,"141,194,359","265,165,110","1.000000,0.545425,0.100477",51.333333333333336,0.0356482130009681,0.001996651338689823
161,mic_fileid_161_doa59_3spk.wav,"59,240,304","65,295,350","1.000000,0.664378,0.150470",35.666666666666664,0.03711137999925995,0.002101749552199008
162,mic_fileid_162_doa43_3spk.wav,"100,334,43","90,265,10","1.000000,0.355953,0.098703",37.333333333333336,0.03133510900079273,0.0019314195283674663
163,mic_fileid_163_doa154_3spk.wav,"302,341,154","280,350,170","1.000000,0.650803,0.449470",15.666666666666666,0.04603581499759457,0.0028314921424236286
164,mic_fileid_164_doa84_3spk.wav,"84,231,119","90,195,280","1.000000,0.325013,0.277336",43.666666666666664,0.05443326599925058,0.003390450937752588
165,mic_fileid_165_doa32_3spk.wav,"89,32,288","85,270,175","1.000000,0.240361,0.073264",52.333333333333336,0.03753862099983962,0.00222759650774567
166,mic_fileid_166_doa59_3spk.wav,"109,320,59","95,5,165","0.901837,0.891866,0.289359",45.666666666666664,0.0395074520019989,0.002285484243372559
167,mic_fileid_167_doa27_3spk.wav,"27,142,297","10,160,85","1.000000,0.734059,0.292595",49.666666666666664,0.046719051999389194,0.0030042957413236784
168,mic_fileid_168_doa134_3spk.wav,"343,169,134","350,180,100","1.000000,0.763962,0.381927",17.333333333333332,0.034856267000577645,0.001985235408897931
169,mic_fileid_169_doa149_3spk.wav,"264,314,149","265,95,180","1.000000,0.077487,0.054313",57.666666666666664,0.04166311500011943,0.0025228966331669756
170,mic_fileid_170_doa57_3spk.wav,"133,329,57","155,100,275","1.000000,0.657070,0.257896",39.666666666666664,0.04711650800163625,0.002721649053483111
171,mic_fileid_171_doa66_3spk.wav,"238,348,66","205,85,245","1.000000,0.778882,0.577008",51.666666666666664,0.03668692900100723,0.002298265757328002
172,mic_fileid_172_doa1_3spk.wav,"236,1,286","345,205,270","1.000000,0.675168,0.424770",21.0,0.03407663599864463,0.0019966973895435285
173,mic_fileid_173_doa42_3spk.wav,"146,42,87","155,35,95","1.000000,0.168356,0.111150",8.0,0.027629868000076385,0.0015714860652983951
174,mic_fileid_174_doa166_3spk.wav,"166,334,270","170,275,105","1.000000,0.258084,0.206226",46.666666666666664,0.0403961869997147,0.0025978881805647854
175,mic_fileid_175_doa16_3spk.wav,"144,312,16","165,95,275","1.000000,0.267767,0.084495",45.666666666666664,0.049827700000605546,0.002935811870796253
176,mic_fileid_176_doa208_3spk.wav,"208,247,290","265,200,90","1.000000,0.678683,0.336710",62.0,0.044648171999142505,0.0025327087052531044
177,mic_fileid_177_doa189_3spk.wav,"288,189,328","280,80,345","1.000000,0.821434,0.551392",44.666666666666664,0.04652335200080415,0.0028350826560716736
178,mic_fileid_178_doa161_3spk.wav,"331,295,161","350,285,90","1.000000,0.791082,0.344794",33.333333333333336,0.0344381879986031,0.002215226495258664
179,mic_fileid_179_doa105_3spk.wav,"359,105,188","180,270,100","0.730282,0.646297,0.213118",34.0,0.04370442300205468,0.0025550857870668266
180,mic_fileid_180_doa24_3spk.wav,"273,220,24","190,270,80","1.000000,0.509210,0.116596",29.666666666666668,0.03607965199989849,0.00218553625053335
181,mic_fileid_181_doa88_3spk.wav,"175,215,88","175,260,105","1.000000,0.312239,0.111441",20.666666666666668,0.041505798002617666,0.0026577956506362715
182,mic_fileid_182_doa130_3spk.wav,"130,215,342","180,115,255","1.000000,0.053439,0.042535",45.666666666666664,0.039672587998211384,0.0023203905861695954
183,mic_fileid_183_doa59_3spk.wav,"59,311,246","5,265,80","1.000000,0.505115,0.268383",31.333333333333332,0.032255939000606304,0.0020398851550964057
184,mic_fileid_184_doa65_3spk.wav,"260,303,65","265,10,180","1.000000,0.323591,0.208582",57.666666666666664,0.039846584000770235,0.0024100331295024676
185,mic_fileid_185_doa35_3spk.wav,"135,192,35","100,150,175","1.000000,0.701883,0.670314",32.333333333333336,0.02691900400168379,0.0016631683851429941
186,mic_fileid_186_doa43_3spk.wav,"169,43,243","10,180,85","1.000000,0.838885,0.816499",60.0,0.03740016199662932,0.002361028178915246
187,mic_fileid_187_doa136_3spk.wav,"136,238,342","265,175,115","1.000000,0.577544,0.394648",53.666666666666664,0.04096691000086139,0.0023722803868701948
188,mic_fileid_188_doa42_3spk.wav,"247,42,99","255,95,195","1.000000,0.268496,0.121741",52.333333333333336,0.037459997001860756,0.002305071002891231
189,mic_fileid_189_doa19_3spk.wav,"308,19,52","5,175,75","1.000000,0.820547,0.734485",56.666666666666664,0.039845232997322455,0.002327204567200447
190,mic_fileid_190_doa23_3spk.wav,"96,23,193","95,260,180","1.000000,0.056244,0.019059",45.666666666666664,0.025147306001599645,0.0015025763730612458
191,mic_fileid_191_doa169_3spk.wav,"313,169,279","185,290,340","1.000000,0.325374,0.219552",18.0,0.03748092000023462,0.0023029220525016855
192,mic_fileid_192_doa84_3spk.wav,"344,258,84","345,275,85","1.000000,0.820950,0.493119",6.333333333333333,0.025034340000274824,0.0014515185249767974
193,mic_fileid_193_doa66_3spk.wav,"110,218,66","250,95,190","1.000000,0.237001,0.074872",47.0,0.04085372500048834,0.0023886527414665832
194,mic_fileid_194_doa63_3spk.wav,"285,100,63","280,85,180","1.000000,0.524085,0.111705",35.666666666666664,0.03548028599834652,0.0020729763592241893
195,mic_fileid_195_doa40_3spk.wav,"177,40,227","175,260,90","1.000000,0.822380,0.534546",28.333333333333332,0.03791940300288843,0.0023456449467095615
196,mic_fileid_196_doa50_3spk.wav,"357,50,111","5,95,170","1.000000,0.360724,0.263682",37.333333333333336,0.035874184999556746,0.002261179937256378
197,mic_fileid_197_doa7_3spk.wav,"318,43,7","5,185,290","1.000000,0.184671,0.094523",57.333333333333336,0.04454803599946899,0.0025917914839151445
198,mic_fileid_198_doa5_3spk.wav,"109,322,5","95,190,275","0.247617,0.186432,0.051475",72.66666666666667,0.03594782700020005,0.002169223346973014
199,mic_fileid_199_doa56_3spk.wav,"56,261,103","15,80,265","1.000000,0.530219,0.451973",22.666666666666668,0.044044506001228,0.0025387528586855346
200,mic_fileid_200_doa103_3spk.wav,"228,103,315","270,200,95","1.000000,0.456336,0.444943",27.0,0.028769982000085292,0.001666279508866286
201,mic_fileid_201_doa27_3spk.wav,"27,117,210","10,75,180","1.000000,0.011770,0.008920",29.666666666666668,0.028906561001349473,0.0018144138467575952
202,mic_fileid_202_doa79_3spk.wav,"293,79,173","350,290,80","1.000000,0.180591,0.175874",58.333333333333336,0.0161012419994222,0.0014185491387535528
203,mic_fileid_203_doa25_3spk.wav,"88,121,25","95,160,10","1.000000,0.208365,0.053695",20.333333333333332,0.04091245599920512,0.0024335270044732998
204,mic_fileid_204_doa190_3spk.wav,"190,261,320","190,265,90","1.000000,0.381826,0.343570",44.666666666666664,0.030706765999639174,0.0018835762273680474
205,mic_fileid_205_doa68_3spk.wav,"262,137,68","265,5,100","1.000000,0.060136,0.038872",34.333333333333336,0.023714209000900155,0.0013143071946184574
206,mic_fileid_206_doa56_3spk.wav,"56,97,268","80,270,15","1.000000,0.152172,0.135000",20.0,0.03190538499984541,0.0019296979685551883
207,mic_fileid_207_doa138_3spk.wav,"204,138,242","110,245,190","1.000000,0.282022,0.143533",15.0,0.023923380998894572,0.0014233224109705617
208,mic_fileid_208_doa73_3spk.wav,"276,73,223","345,270,195","1.000000,0.521353,0.378989",40.666666666666664,0.027690320999681717,0.0016557854499873212
209,mic_fileid_209_doa17_3spk.wav,"82,17,264","85,270,180","1.000000,0.815118,0.740031",57.333333333333336,0.03303529799813987,0.0020597659050957387
210,mic_fileid_210_doa278_3spk.wav,"312,278,350","285,85,350","1.000000,0.001060,0.000346",46.666666666666664,0.03218872900106362,0.0018347690203670036
211,mic_fileid_211_doa55_3spk.wav,"55,176,98","90,175,280","1.000000,0.696092,0.562215",48.0,0.027726550000807038,0.0016361345716005362
212,mic_fileid_212_doa75_3spk.wav,"293,75,339","285,350,85","1.000000,0.033054,0.011262",9.666666666666666,0.03780993600230431,0.002178697648420315
213,mic_fileid_213_doa78_3spk.wav,"181,78,265","180,275,85","1.000000,0.971692,0.719134",6.0,0.046297216998937074,0.0027313388051259675
214,mic_fileid_214_doa74_3spk.wav,"74,286,169","280,175,80","1.000000,0.844010,0.837899",6.0,0.04274539499965613,0.0025166555784313293
215,mic_fileid_215_doa77_3spk.wav,"169,77,263","175,270,5","1.000000,0.252982,0.223218",28.333333333333332,0.03772525000022142,0.0023663135776085444
216,mic_fileid_216_doa82_3spk.wav,"334,82,252","275,340,200","1.000000,0.494152,0.098977",49.0,0.03753044499899261,0.002235551882236872
217,mic_fileid_217_doa95_3spk.wav,"285,95,185","280,90,350","1.000000,0.090377,0.081031",55.0,0.03927078700144193,0.0023464858389962914
218,mic_fileid_218_doa157_3spk.wav,"157,321,205","340,180,100","1.000000,0.517065,0.304736",33.666666666666664,0.025503387001663214,0.0016515063624195055
219,mic_fileid_219_doa56_3spk.wav,"56,236,109","15,75,190","1.000000,0.878105,0.770587",40.333333333333336,0.037030275001598056,0.002343447272138027
220,mic_fileid_220_doa23_3spk.wav,"237,23,331","200,250,100","1.000000,0.870103,0.162203",65.0,0.027519035000295844,0.0016422166525113515
221,mic_fileid_221_doa91_3spk.wav,"220,286,91","350,200,260","1.000000,0.861768,0.741259",49.0,0.034177130000898615,0.002187861406795142
222,mic_fileid_222_doa144_3spk.wav,"144,181,290","175,150,115","1.000000,0.283402,0.273080",58.333333333333336,0.037124956001207465,0.0021924780051354223
223,mic_fileid_223_doa16_3spk.wav,"137,16,261","15,120,265","1.000000,0.891167,0.798411",7.333333333333333,0.0340018790011527,0.0019165705992420215
224,mic_fileid_224_doa124_3spk.wav,"124,320,248","165,270,105","1.000000,0.947538,0.339944",50.666666666666664,0.046451400998194003,0.0026691030330722636
225,mic_fileid_225_doa14_3spk.wav,"129,14,236","170,105,10","1.000000,0.443758,0.297098",31.333333333333332,0.04391514500093763,0.002964485359948536
226,mic_fileid_226_doa127_3spk.wav,"292,227,127","350,185,280","1.000000,0.368058,0.351927",56.333333333333336,0.04753327999787871,0.0028486923167852516
227,mic_fileid_227_doa143_3spk.wav,"143,323,208","165,110,255","0.784223,0.540920,0.432795",48.0,0.021765532001154497,0.0013823993395356863
228,mic_fileid_228_doa105_3spk.wav,"300,105,172","350,285,180","1.000000,0.037877,0.020156",46.0,0.03621095000198693,0.0023275184394907318
229,mic_fileid_229_doa100_3spk.wav,"100,202,261","265,190,95","1.000000,0.799061,0.636653",7.0,0.031200648998492397,0.0018654399461002142
230,mic_fileid_230_doa73_3spk.wav,"73,213,342","195,350,285","1.000000,0.982313,0.809666",52.666666666666664,0.038814948999061016,0.0023522429512346653
231,mic_fileid_231_doa125_3spk.wav,"328,205,125","340,270,90","1.000000,0.492370,0.452165",37.333333333333336,0.03737810100210481,0.0023504728697508904
232,mic_fileid_232_doa59_3spk.wav,"339,297,59","345,70,185","1.000000,0.106873,0.069449",43.0,0.03297348699925351,0.0019507043415444257
233,mic_fileid_233_doa132_3spk.wav,"203,132,294","190,270,340","1.000000,0.687900,0.654963",57.0,0.03425835899906815,0.0020397040322145867
234,mic_fileid_234_doa1_3spk.wav,"89,213,1","265,90,185","1.000000,0.871166,0.268770",41.666666666666664,0.03293999300149153,0.0019056981776969354
235,mic_fileid_235_doa20_3spk.wav,"209,20,122","180,105,245","1.000000,0.771257,0.335796",59.666666666666664,0.03370138700120151,0.0019104553159605177
236,mic_fileid_236_doa56_3spk.wav,"189,56,331","185,285,85","1.000000,0.477346,0.336932",26.333333333333332,0.03702499800056103,0.0023277378348145997
237,mic_fileid_237_doa41_3spk.wav,"41,309,201","180,65,5","1.000000,0.768012,0.452518",33.666666666666664,0.036644161998992786,0.0022183374649409177
238,mic_fileid_238_doa19_3spk.wav,"155,19,273","160,100,15","1.000000,0.633016,0.416373",57.333333333333336,0.038439462001406355,0.002258272168574173
239,mic_fileid_239_doa4_3spk.wav,"94,4,159","85,175,10","1.000000,0.104391,0.024970",10.333333333333334,0.029226464001112618,0.0017384675188218046
240,mic_fileid_240_doa116_3spk.wav,"116,212,325","345,180,265","1.000000,0.650503,0.337571",45.666666666666664,0.03267764200063539,0.0019212253693325723
241,mic_fileid_241_doa46_3spk.wav,"314,46,217","325,280,85","1.000000,0.598284,0.173847",37.666666666666664,0.030728806003025966,0.001744307209980684
242,mic_fileid_242_doa20_3spk.wav,"182,137,20","175,5,95","1.000000,0.111904,0.089611",21.333333333333332,0.03773112599810702,0.0021962877847496736
243,mic_fileid_243_doa137_3spk.wav,"169,259,137","175,275,105","1.000000,0.807179,0.212899",18.0,0.049948003001190955,0.0027071171302430652
244,mic_fileid_244_doa170_3spk.wav,"301,170,243","190,285,350","1.000000,0.407911,0.231567",37.0,0.05108717600160162,0.0031483307502489176
245,mic_fileid_245_doa25_3spk.wav,"25,325,254","15,85,275","1.000000,0.266991,0.249623",43.666666666666664,0.0346694239997305,0.001949925069761767
246,mic_fileid_246_doa28_3spk.wav,"28,348,138","20,80,165","1.000000,0.602903,0.122336",37.0,0.03863504100081627,0.0022640925326818506
247,mic_fileid_247_doa22_3spk.wav,"22,272,321","15,65,275","1.000000,0.412704,0.391965",33.333333333333336,0.028328976000921102,0.0017588536305790273
248,mic_fileid_248_doa106_3spk.wav,"288,106,233","95,270,180","1.000000,0.511539,0.095650",27.333333333333332,0.03254456699869479,0.00205281549164275
249,mic_fileid_249_doa29_3spk.wav,"85,29,204","85,180,275","1.000000,0.111313,0.068864",46.0,0.03344961499897181,0.0020798604082960218
250,mic_fileid_250_doa95_3spk.wav,"95,247,176","95,5,190","1.000000,0.454547,0.343293",44.0,0.04308655000204453,0.002588733092626839
251,mic_fileid_251_doa23_3spk.wav,"23,295,183","15,170,85","1.000000,0.327085,0.286143",51.666666666666664,0.04121377800038317,0.0024224873920168795
252,mic_fileid_252_doa54_3spk.wav,"54,255,209","15,75,270","1.000000,0.986391,0.617130",62.666666666666664,0.036809392000577645,0.0021609999119721517
253,mic_fileid_253_doa72_3spk.wav,"340,72,207","85,350,180","1.000000,0.492646,0.358255",16.666666666666668,0.03602545700050541,0.002459033600143712
254,mic_fileid_254_doa102_3spk.wav,"304,344,102","90,285,345","1.000000,0.889242,0.674448",10.666666666666666,0.048281280000082916,0.0028173089519300896
255,mic_fileid_255_doa122_3spk.wav,"122,265,216","105,20,160","1.000000,0.288286,0.282607",62.666666666666664,0.04728360399894882,0.0027332945451835756
256,mic_fileid_256_doa87_3spk.wav,"87,172,354","275,90,180","0.565121,0.124508,0.051144",30.0,0.03681474599943613,0.0020036871581046683
257,mic_fileid_257_doa223_3spk.wav,"323,223,263","280,190,345","1.000000,0.385005,0.257593",24.0,0.03682041600040975,0.0021872973045465064
258,mic_fileid_258_doa105_3spk.wav,"233,105,265","100,260,190","1.000000,0.885264,0.769361",17.666666666666668,0.021139393000339624,0.0012433108660690852
259,mic_fileid_259_doa21_3spk.wav,"171,261,21","175,85,275","1.000000,0.382161,0.185500",27.333333333333332,0.03234137999970699,0.0020576178395430036
260,mic_fileid_260_doa135_3spk.wav,"250,340,135","175,255,105","1.000000,0.857270,0.643153",56.666666666666664,0.03345652499774587,0.0020243709108797563
261,mic_fileid_261_doa122_3spk.wav,"176,122,332","180,265,90","1.000000,0.458628,0.412730",34.333333333333336,0.0376762889973179,0.002302423894114607
262,mic_fileid_262_doa98_3spk.wav,"226,135,98","190,105,245","1.000000,0.352689,0.247840",27.0,0.02055547899726662,0.0013579737559612944
263,mic_fileid_263_doa26_3spk.wav,"62,281,26","65,5,280","1.000000,0.264322,0.169839",8.333333333333334,0.07259160499961581,0.004402392789163513
264,mic_fileid_264_doa124_3spk.wav,"124,169,226","115,250,155","1.000000,0.011703,0.006872",15.666666666666666,0.03201937099947827,0.0018794571067694815
265,mic_fileid_265_doa188_3spk.wav,"292,188,222","340,280,200","1.000000,0.664406,0.176205",39.333333333333336,0.03651551100119832,0.002248665137476611
266,mic_fileid_266_doa106_3spk.wav,"359,203,106","175,105,260","0.219750,0.169957,0.110947",42.666666666666664,0.031845926998357754,0.0019158757979715441
267,mic_fileid_267_doa81_3spk.wav,"311,185,81","340,295,185","1.000000,0.634996,0.351670",39.0,0.03727544600042165,0.0022187930565210545
268,mic_fileid_268_doa43_3spk.wav,"354,43,293","70,275,185","0.171955,0.101968,0.022306",71.33333333333333,0.029619149001518963,0.0017500235746835428
269,mic_fileid_269_doa18_3spk.wav,"163,221,18","90,250,10","1.000000,0.370623,0.176753",36.666666666666664,0.05490694000036456,0.003321553492051938
270,mic_fileid_270_doa4_3spk.wav,"4,234,67","5,85,185","1.000000,0.202386,0.158553",22.666666666666668,0.026962587999150855,0.0015167332610938925
271,mic_fileid_271_doa16_3spk.wav,"191,245,16","90,190,255","1.000000,0.765785,0.183439",28.333333333333332,0.0321628919991781,0.0019073761554453687
272,mic_fileid_272_doa59_3spk.wav,"354,59,258","80,265,195","1.000000,0.153238,0.074038",57.666666666666664,0.02958592999857501,0.0017743218686362419
273,mic_fileid_273_doa24_3spk.wav,"24,220,165","185,260,15","1.000000,0.378146,0.324053",23.0,0.0377791739992972,0.002346696523781767
274,mic_fileid_274_doa14_3spk.wav,"111,65,14","100,155,265","1.000000,0.058781,0.058222",62.666666666666664,0.05168294000031892,0.0031437311435717104
275,mic_fileid_275_doa2_3spk.wav,"2,327,96","270,180,95","0.872898,0.614718,0.300750",78.0,0.03434277400083374,0.0020286806519037278
276,mic_fileid_276_doa35_3spk.wav,"127,307,35","160,110,5","1.000000,0.720898,0.285926",55.333333333333336,0.03285565100304666,0.001959484180888425
277,mic_fileid_277_doa52_3spk.wav,"303,133,52","290,90,170","1.000000,0.317726,0.273469",29.333333333333332,0.03229736699722707,0.0021615879929877905
278,mic_fileid_278_doa13_3spk.wav,"102,13,298","95,5,280","1.000000,0.529789,0.463651",11.0,0.02358788099809317,0.0013648419498390378
279,mic_fileid_279_doa26_3spk.wav,"220,122,26","185,260,105","1.000000,0.619482,0.055609",59.333333333333336,0.029085561000101734,0.0016848619363867103
280,mic_fileid_280_doa27_3spk.wav,"27,354,282","270,175,15","1.000000,0.645885,0.537181",60.333333333333336,0.0428379879995191,0.002772909652853409
281,mic_fileid_281_doa220_3spk.wav,"355,220,319","80,250,195","0.066713,0.035131,0.022195",59.666666666666664,0.034622097002284136,0.0019975535203037194
282,mic_fileid_282_doa55_3spk.wav,"276,128,55","95,275,160","1.000000,0.160526,0.126834",24.333333333333332,0.04878596100024879,0.0030032987926557316
283,mic_fileid_283_doa126_3spk.wav,"302,177,126","350,285,85","1.000000,0.243784,0.194519",65.66666666666667,0.038896361002116464,0.002306011516440256
284,mic_fileid_284_doa4_3spk.wav,"256,214,4","85,5,265","1.000000,0.188210,0.135946",46.333333333333336,0.03909656100222492,0.002466407135055549
285,mic_fileid_285_doa48_3spk.wav,"274,48,229","270,15,185","1.000000,0.429508,0.423430",27.0,0.03193105900209048,0.001870211673183031
286,mic_fileid_286_doa62_3spk.wav,"62,357,213","75,280,185","0.658560,0.482193,0.328709",39.333333333333336,0.03093646900015301,0.0019985928791293444
287,mic_fileid_287_doa99_3spk.wav,"147,99,345","100,165,10","1.000000,0.879473,0.537588",14.666666666666666,0.0316085970007407,0.0018713415972080013
288,mic_fileid_288_doa72_3spk.wav,"139,72,227","170,90,265","1.000000,0.812262,0.195016",29.0,0.029817930997523945,0.001885882946186558
289,mic_fileid_289_doa174_3spk.wav,"232,174,358","270,95,185","1.000000,0.699530,0.515292",48.666666666666664,0.023886128001322504,0.0014057175309928865
290,mic_fileid_290_doa23_3spk.wav,"137,23,312","170,5,95","1.000000,0.463643,0.240525",52.666666666666664,0.03128101800029981,0.0017926855309139253
291,mic_fileid_291_doa157_3spk.wav,"263,157,357","270,100,180","1.000000,0.572745,0.355062",44.333333333333336,0.022959423000429524,0.0013870772623523525
292,mic_fileid_292_doa44_3spk.wav,"338,184,44","185,340,280","0.443333,0.414678,0.190994",41.0,0.020258116001059534,0.001338671512658398
293,mic_fileid_293_doa94_3spk.wav,"340,244,94","345,275,190","1.000000,0.306065,0.273048",44.0,0.04960409599880222,0.003079493477494842
294,mic_fileid_294_doa175_3spk.wav,"296,175,330","290,85,175","1.000000,0.445977,0.390825",40.333333333333336,0.047445037998841144,0.0027335208491705613
295,mic_fileid_295_doa80_3spk.wav,"80,243,291","85,190,350","1.000000,0.276104,0.149587",39.0,0.03960681799799204,0.0024603564416692783
296,mic_fileid_296_doa65_3spk.wav,"203,325,65","85,270,185","1.000000,0.336722,0.311656",31.0,0.04918823799744132,0.003101084409538198
297,mic_fileid_297_doa40_3spk.wav,"40,164,357","15,285,65","1.000000,0.316693,0.315778",54.666666666666664,0.04393918699861388,0.0026012217205803947
298,mic_fileid_298_doa53_3spk.wav,"113,53,173","110,160,10","1.000000,0.113028,0.038953",19.666666666666668,0.032309715999872424,0.0020029580311122946
299,mic_fileid_299_doa50_3spk.wav,"134,50,244","155,90,40","1.000000,0.390412,0.052991",47.666666666666664,0.032754634998127585,0.0019690932179975253
300,mic_fileid_300_doa68_3spk.wav,"219,68,274","270,200,350","1.000000,0.103388,0.028658",33.666666666666664,0.036705763999634655,0.0022294052461532647
