sep,evaluated_items,unique_scenes,corpus_wer,mean_sample_wer,mean_doa_error_deg,median_doa_error_deg,doa_within_10_deg_percent,doa_within_20_deg_percent,doa_within_30_deg_percent,mean_input_sdr,mean_sdr,mean_sdri,mean_input_si_sdr,mean_si_sdr,mean_sisdri,mean_input_pesq,mean_pesq,mean_pesqi,mean_ipdnet_sec,mean_dsenet_sec,mean_whisper_sec,mean_total_sec
5,200,100,0.7306432595309839,0.7686909688774847,2.385,2.0,100.0,100.0,100.0,-3.1759919186122714,-0.15290015731821768,3.023091761294054,-3.219386167526245,-0.23149416672065853,2.9878920008055867,1.1111149293184281,1.2176730209589004,0.10655809164047242,0.2857406713500063,1.833788301306666,0.5028311454099986,2.6223601180666707
10,200,100,0.6989890928438415,0.7335131354274321,5.275,4.0,98.0,99.0,99.0,-3.1296942636370657,-0.15306600499898196,2.976628258638084,-3.1716244673356413,-0.3904388683103025,2.781185599025339,1.1205286520719528,1.2450814068317413,0.12455275475978851,0.27444639807001864,1.7990211491499986,0.47945488189999935,2.5529224291200165
15,200,100,0.5788997933884298,0.6084973885754191,4.93,5.0,92.0,100.0,100.0,-2.994687726586126,1.5359433716826607,4.5306310982687865,-3.0339463588115176,1.3711062522092834,4.4050526110208015,1.1048339861631393,1.3656617575883865,0.2608277714252472,0.2710528775099806,1.7830907078366582,0.4628204288449808,2.51696401419162
20,200,100,0.43282038018880126,0.4586244345311687,5.625,4.0,79.5,99.5,100.0,-3.29088890966028,4.154351281331765,7.4452401909920445,-3.3323737885802984,3.680031489515677,7.012405278095976,1.1126786601543426,1.756822764277458,0.6441441041231155,0.27400190753999143,1.7883908643666686,0.45240412502000027,2.51479689692666
30,200,100,0.22076902955793878,0.22978160068091605,5.38,2.0,77.5,98.0,100.0,-3.22238510068506,8.779361758679151,12.00174685936421,-3.2621067349240183,8.091443797498941,11.35355053242296,1.1174382996559142,2.326053502559662,1.2086152029037476,0.27281907067000705,1.795603251673321,0.4166545506649777,2.485076873008306
